4|40|Warzywa świeże|Imbir korzeń|12,99|500 g|https://e-szop24.pl/photos/018136_imbir_arg.png
4|40|Kawa rozpuszczalna|Nescafe Gold kawa rozpuszczalna puszka|89,30|500 g|https://e-szop24.pl/photos/019068_nescafe_gol_kaw_roz_pus_bb1.png
4|40|Higiena intymna|Bella Perfecta Ultra green maxi podpaski|5,85|8 szt|https://e-szop24.pl/photos/010765_bella_per_ult_gre_max_pod_bb1.png
4|40|Pielęgnacja włosów|Schauma Color Shine Szampon chroniący kolor|10,50|400 ml|https://e-szop24.pl/photos/027978_schauma_col_shi_sza_chr_kol_bb1.png
4|40|Pielęgnacja włosów|Head&Shoulders szampon przeciwłupieżowy nawilżanie|12,60|225 ml|https://e-szop24.pl/photos/010671_headshoulders_sza_prz_naw.png
4|40|Przyprawy i zioła|Cykoria Papryka mielona słodka|1,19|20 g|https://e-szop24.pl/photos/019639_cykoria_pap_mie_slo_bb1.png
4|40|Akcesoria kuchenne|Sarantis Torba termoizolacyjna|4,99|1 szt|https://e-szop24.pl/photos/017468_sarantis_tor_ter.png
4|40|Pranie|Vizir Absolute do kolorów|6,49|300 g|https://e-szop24.pl/photos/012076_vizir_abs_do_kol_bb1.png
4|40|Wody|Cisowianka Naturalna woda mineralna niegazowana niskosodowa pet|11,30|6 x 0,7 l|https://e-szop24.pl/photos/020338_cisowianka_nat_wod_min_nie_ni_bb1.png
4|40|Herbata|Dilmah Ceylon Gold leaf tea, herbata czarna sypka|18,30|250 g|https://e-szop24.pl/photos/014964_dilmah_cey_gol_lea_tea_her_cz_bb1.png
4|40|Pielęgnacja włosów|Head&Shoulders  szampon przeciwłupieżowy citrus fresh|12,60|225 ml|https://e-szop24.pl/photos/010675_headshoulders_sza_prz_cit_fre_bb1.png
4|40|Mydła|Carex Moisture Plus Antybakteryjne mydło opakowanie uzupełniające|8,80|500 ml|https://e-szop24.pl/photos/027493_carex_plm_plu_500_bb1.png
4|40|Pielęgnacja włosów|Head&Shoulders szampon przeciwłupieżowy arctic|12,60|225 ml|https://e-szop24.pl/photos/010677_headshoulders_sza_prz_ice.png
4|40|Do mycia naczyń|Fairy Platinum Arctic Fresh płyn do naczyń|8,99|650 ml|https://e-szop24.pl/photos/018577_fairy_pla_arc_fre_ply_do_nac_bb1.png
